,размер,ткань,цвет,рукав,спрос
0,S,нейлон,белый,длинный,средний
1,XL,полиэстр,кремовый,короткий,высокий
2,S,шёлк,голубой,короткий,средний
3,M,хлопок,чёрный,короткий,средний
4,XL,полиэстр,оранжевый,длинный,средний
5,XS,полиэстр,чёрный,короткий,средний
6,XXL,полиэстр,зелёный,короткий,средний
7,L,лён,жёлтый,короткий,высокий
8,XL,лён,кремовый,длинный,высокий
9,XS,нейлон,красный,короткий,высокий
10,XXL,лён,белый,короткий,средний
11,L,лён,жёлтый,короткий,высокий
12,L,хлопок,голубой,длинный,средний
13,3XL,хлопок,фиолетовый,короткий,средний
14,L,хлопок,голубой,короткий,высокий
15,M,лён,синий,длинный,высокий
16,XL,лён,белый,короткий,средний
17,XXL,полиэстр,фиолетовый,длинный,низкий
18,L,хлопок,зелёный,короткий,высокий
19,XXL,полиэстр,голубой,короткий,высокий
20,S,шёлк,синий,короткий,средний
21,L,нейлон,оранжевый,длинный,средний
22,S,нейлон,кремовый,длинный,высокий
23,M,лён,красный,короткий,высокий
24,L,хлопок,оранжевый,короткий,высокий
25,XXL,лён,красный,короткий,высокий
26,S,хлопок,зелёный,короткий,высокий
27,XL,лён,фиолетовый,короткий,высокий
28,XL,шёлк,кремовый,короткий,низкий
29,3XL,лён,кремовый,длинный,средний
30,M,нейлон,оранжевый,длинный,средний
31,L,лён,жёлтый,длинный,высокий
32,S,нейлон,кремовый,короткий,высокий
33,S,нейлон,кремовый,короткий,высокий
34,L,шёлк,белый,короткий,низкий
35,M,нейлон,синий,короткий,высокий
36,XL,нейлон,зелёный,длинный,средний
37,XXL,лён,белый,длинный,средний
38,M,лён,красный,длинный,высокий
39,S,полиэстр,кремовый,длинный,высокий
40,XXL,хлопок,зелёный,длинный,низкий
41,M,полиэстр,голубой,длинный,средний
42,L,нейлон,оранжевый,короткий,высокий
43,XXL,нейлон,синий,короткий,высокий
44,L,хлопок,белый,короткий,высокий
45,M,полиэстр,чёрный,длинный,средний
46,L,нейлон,белый,длинный,высокий
47,XL,хлопок,оранжевый,короткий,высокий
48,S,шёлк,чёрный,короткий,низкий
49,M,полиэстр,фиолетовый,короткий,высокий
50,L,полиэстр,кремовый,короткий,высокий
51,XS,лён,фиолетовый,короткий,высокий
52,XL,нейлон,жёлтый,короткий,высокий
53,XXL,хлопок,синий,короткий,высокий
54,3XL,нейлон,красный,короткий,высокий
55,L,хлопок,кремовый,длинный,средний
56,L,нейлон,белый,длинный,высокий
57,XL,хлопок,голубой,короткий,высокий
58,S,полиэстр,чёрный,короткий,средний
59,S,нейлон,синий,короткий,высокий
60,XL,хлопок,голубой,длинный,средний
61,M,нейлон,зелёный,короткий,высокий
62,L,хлопок,кремовый,длинный,средний
63,S,нейлон,жёлтый,длинный,высокий
64,3XL,хлопок,красный,длинный,низкий
65,L,лён,белый,длинный,высокий
66,L,полиэстр,чёрный,короткий,средний
67,XXL,хлопок,белый,короткий,средний
68,XL,полиэстр,зелёный,короткий,высокий
69,XL,нейлон,зелёный,длинный,средний
70,XS,лён,оранжевый,длинный,высокий
71,XXL,нейлон,белый,короткий,низкий
72,XXL,полиэстр,красный,длинный,средний
73,M,полиэстр,белый,длинный,средний
74,3XL,лён,белый,короткий,низкий
75,L,полиэстр,голубой,короткий,высокий
76,XL,нейлон,синий,короткий,высокий
77,L,хлопок,чёрный,длинный,средний
78,XXL,хлопок,чёрный,короткий,средний
79,M,нейлон,белый,короткий,средний
80,S,хлопок,жёлтый,короткий,высокий
81,3XL,нейлон,чёрный,короткий,средний
82,M,полиэстр,синий,короткий,высокий
83,M,нейлон,белый,короткий,средний
84,3XL,нейлон,жёлтый,длинный,низкий
85,S,нейлон,красный,длинный,высокий
86,M,хлопок,белый,длинный,высокий
87,M,лён,синий,длинный,высокий
88,3XL,хлопок,белый,короткий,средний
89,XXL,хлопок,чёрный,длинный,средний
90,XXL,нейлон,белый,длинный,низкий
91,XXL,полиэстр,кремовый,короткий,высокий
92,XL,полиэстр,синий,короткий,высокий
93,XXL,нейлон,синий,длинный,средний
94,M,нейлон,кремовый,длинный,средний
95,L,полиэстр,красный,короткий,высокий
96,XXL,хлопок,чёрный,короткий,средний
97,L,хлопок,чёрный,длинный,средний
98,L,лён,синий,длинный,высокий
99,XXL,полиэстр,чёрный,длинный,средний
100,S,полиэстр,синий,короткий,высокий
101,3XL,полиэстр,синий,длинный,средний
102,M,нейлон,голубой,короткий,высокий
103,L,полиэстр,голубой,короткий,высокий
104,3XL,лён,жёлтый,длинный,средний
105,XL,хлопок,белый,короткий,средний
106,M,полиэстр,красный,короткий,высокий
107,M,лён,фиолетовый,длинный,средний
108,L,хлопок,чёрный,длинный,средний
109,3XL,нейлон,синий,длинный,средний
110,S,полиэстр,зелёный,короткий,высокий
111,3XL,хлопок,жёлтый,длинный,низкий
112,XXL,полиэстр,синий,длинный,средний
113,S,полиэстр,синий,короткий,высокий
114,L,хлопок,красный,короткий,высокий
115,L,нейлон,красный,короткий,высокий
116,3XL,лён,голубой,короткий,высокий
117,L,лён,белый,короткий,высокий
118,3XL,хлопок,кремовый,длинный,низкий
119,XL,нейлон,чёрный,короткий,средний
120,XL,шёлк,белый,длинный,низкий
121,XXL,нейлон,красный,длинный,средний
122,M,полиэстр,синий,длинный,средний
123,3XL,полиэстр,кремовый,короткий,высокий
124,M,полиэстр,синий,короткий,высокий
125,S,полиэстр,белый,короткий,средний
126,S,полиэстр,белый,короткий,средний
127,L,хлопок,белый,длинный,высокий
128,XL,хлопок,белый,длинный,средний
129,XS,полиэстр,фиолетовый,короткий,высокий
130,M,нейлон,белый,длинный,средний
131,M,полиэстр,кремовый,короткий,высокий
132,3XL,нейлон,голубой,длинный,низкий
133,M,лён,синий,длинный,высокий
134,XS,полиэстр,красный,длинный,высокий
135,XXL,нейлон,зелёный,короткий,средний
136,L,полиэстр,чёрный,короткий,средний
137,S,полиэстр,красный,длинный,высокий
138,M,хлопок,жёлтый,длинный,низкий
139,XXL,полиэстр,белый,короткий,низкий
140,XL,хлопок,голубой,длинный,средний
141,M,лён,синий,длинный,высокий
142,M,полиэстр,чёрный,короткий,средний
143,3XL,шёлк,красный,длинный,низкий
144,S,нейлон,чёрный,короткий,средний
145,L,лён,синий,длинный,высокий
146,M,полиэстр,красный,короткий,высокий
147,S,хлопок,голубой,длинный,высокий
148,3XL,полиэстр,голубой,короткий,высокий
149,XL,лён,фиолетовый,короткий,высокий
150,S,нейлон,красный,длинный,высокий
151,XXL,хлопок,кремовый,длинный,средний
152,3XL,нейлон,чёрный,длинный,средний
153,L,полиэстр,кремовый,длинный,средний
154,XXL,полиэстр,чёрный,длинный,средний
155,M,лён,жёлтый,длинный,средний
156,3XL,полиэстр,жёлтый,короткий,средний
157,XL,лён,чёрный,короткий,средний
158,L,хлопок,синий,длинный,средний
159,XXL,нейлон,чёрный,длинный,средний
160,M,нейлон,белый,короткий,средний
161,XS,лён,белый,короткий,высокий
162,XL,шёлк,зелёный,короткий,низкий
163,XXL,нейлон,жёлтый,длинный,низкий
164,L,лён,зелёный,длинный,средний
165,M,шёлк,красный,короткий,низкий
166,L,полиэстр,чёрный,длинный,средний
167,XXL,лён,голубой,короткий,высокий
168,XS,хлопок,белый,короткий,высокий
169,L,нейлон,зелёный,длинный,средний
170,S,полиэстр,оранжевый,короткий,высокий
171,L,хлопок,чёрный,длинный,средний
172,L,нейлон,зелёный,короткий,высокий
173,XS,полиэстр,белый,длинный,средний
174,L,хлопок,жёлтый,длинный,средний
175,XL,лён,кремовый,длинный,высокий
176,XXL,полиэстр,фиолетовый,короткий,высокий
177,XS,лён,кремовый,короткий,высокий
178,3XL,полиэстр,голубой,длинный,низкий
179,S,хлопок,чёрный,короткий,средний
180,3XL,хлопок,синий,длинный,низкий
181,M,хлопок,голубой,короткий,высокий
182,L,хлопок,оранжевый,длинный,средний
183,S,хлопок,белый,длинный,высокий
184,L,нейлон,кремовый,длинный,средний
185,XXL,полиэстр,белый,длинный,низкий
186,M,нейлон,красный,короткий,высокий
187,XL,лён,жёлтый,длинный,средний
188,L,хлопок,жёлтый,короткий,высокий
189,M,лён,белый,длинный,высокий
190,XXL,хлопок,зелёный,короткий,средний
191,M,нейлон,жёлтый,короткий,высокий
192,XL,полиэстр,синий,длинный,средний
193,XL,шёлк,чёрный,длинный,низкий
194,L,нейлон,кремовый,короткий,высокий
195,XS,нейлон,голубой,короткий,высокий
196,3XL,нейлон,фиолетовый,короткий,средний
197,M,хлопок,красный,короткий,высокий
198,3XL,полиэстр,фиолетовый,длинный,низкий
199,XXL,полиэстр,голубой,длинный,средний
200,XS,нейлон,чёрный,короткий,средний
201,XL,полиэстр,белый,короткий,низкий
202,M,нейлон,чёрный,длинный,средний
203,XS,хлопок,оранжевый,короткий,высокий
204,XL,нейлон,голубой,длинный,средний
205,S,лён,чёрный,длинный,средний
206,M,нейлон,зелёный,длинный,средний
207,M,полиэстр,зелёный,короткий,высокий
208,XL,шёлк,синий,короткий,низкий
209,XL,нейлон,белый,короткий,низкий
210,XL,полиэстр,кремовый,короткий,высокий
211,XL,хлопок,красный,короткий,высокий
212,L,лён,кремовый,короткий,высокий
213,XL,шёлк,красный,короткий,низкий
214,XL,полиэстр,белый,длинный,низкий
215,3XL,хлопок,жёлтый,короткий,средний
216,3XL,хлопок,фиолетовый,длинный,низкий
217,S,полиэстр,кремовый,короткий,высокий
218,L,шёлк,жёлтый,короткий,низкий
219,L,нейлон,красный,короткий,высокий
220,3XL,нейлон,кремовый,короткий,высокий
221,L,нейлон,кремовый,длинный,средний
222,XL,полиэстр,белый,короткий,низкий
223,XS,полиэстр,красный,короткий,высокий
224,3XL,нейлон,кремовый,длинный,средний
225,XS,нейлон,кремовый,длинный,высокий
226,XXL,полиэстр,кремовый,длинный,средний
227,XS,лён,кремовый,короткий,высокий
228,XL,лён,оранжевый,длинный,средний
229,M,полиэстр,чёрный,короткий,средний
230,XXL,полиэстр,синий,длинный,средний
231,L,нейлон,кремовый,короткий,высокий
232,3XL,хлопок,синий,короткий,средний
233,XL,хлопок,белый,длинный,средний
234,M,полиэстр,жёлтый,длинный,средний
235,S,полиэстр,синий,длинный,высокий
236,XL,полиэстр,жёлтый,короткий,высокий
237,XL,полиэстр,белый,длинный,низкий
238,XL,полиэстр,синий,длинный,средний
239,L,лён,чёрный,длинный,средний
240,3XL,хлопок,голубой,длинный,низкий
241,L,хлопок,кремовый,длинный,средний
242,XS,шёлк,жёлтый,длинный,низкий
243,XS,полиэстр,чёрный,короткий,средний
244,L,нейлон,чёрный,длинный,средний
245,XS,полиэстр,фиолетовый,длинный,средний
246,XL,лён,синий,длинный,высокий
247,M,полиэстр,фиолетовый,длинный,средний
248,S,полиэстр,жёлтый,короткий,высокий
249,L,полиэстр,чёрный,короткий,средний
250,L,нейлон,синий,короткий,высокий
251,L,полиэстр,зелёный,длинный,средний
252,M,нейлон,кремовый,короткий,высокий
253,3XL,хлопок,чёрный,длинный,средний
254,XS,лён,зелёный,длинный,высокий
255,XL,лён,кремовый,длинный,высокий
256,XS,полиэстр,синий,длинный,высокий
257,XS,нейлон,голубой,короткий,высокий
258,3XL,лён,фиолетовый,длинный,средний
259,L,полиэстр,синий,короткий,высокий
260,M,полиэстр,синий,короткий,высокий
261,XS,нейлон,синий,короткий,высокий
262,L,хлопок,синий,длинный,средний
263,M,полиэстр,чёрный,длинный,средний
264,M,лён,кремовый,короткий,высокий
265,M,хлопок,чёрный,длинный,средний
266,3XL,хлопок,белый,длинный,средний
267,L,полиэстр,кремовый,короткий,высокий
268,3XL,шёлк,чёрный,длинный,низкий
269,L,хлопок,оранжевый,короткий,высокий
270,S,полиэстр,фиолетовый,короткий,высокий
271,L,полиэстр,красный,длинный,средний
272,XXL,нейлон,белый,длинный,низкий
273,S,хлопок,кремовый,длинный,высокий
274,M,нейлон,жёлтый,длинный,средний
275,XL,хлопок,белый,короткий,средний
276,XS,полиэстр,голубой,длинный,высокий
277,XXL,хлопок,жёлтый,длинный,низкий
278,M,нейлон,красный,длинный,средний
279,M,нейлон,чёрный,короткий,средний
280,M,лён,жёлтый,короткий,высокий
281,XS,хлопок,чёрный,короткий,средний
282,XXL,лён,голубой,короткий,высокий
283,L,нейлон,фиолетовый,длинный,средний
284,L,хлопок,белый,короткий,высокий
285,3XL,хлопок,зелёный,короткий,средний
286,3XL,полиэстр,чёрный,длинный,средний
287,L,лён,белый,длинный,высокий
288,S,хлопок,синий,короткий,высокий
289,3XL,полиэстр,фиолетовый,короткий,средний
290,L,шёлк,кремовый,короткий,низкий
291,XXL,хлопок,кремовый,короткий,высокий
292,XS,лён,фиолетовый,длинный,высокий
293,S,полиэстр,фиолетовый,короткий,высокий
294,XS,полиэстр,кремовый,короткий,высокий
295,XXL,лён,синий,короткий,высокий
296,M,шёлк,красный,короткий,низкий
297,L,полиэстр,синий,длинный,средний
298,L,шёлк,оранжевый,короткий,низкий
299,L,лён,красный,длинный,высокий
300,L,лён,чёрный,короткий,средний
301,M,полиэстр,жёлтый,длинный,средний
302,L,полиэстр,жёлтый,короткий,высокий
303,XL,полиэстр,красный,длинный,средний
304,XXL,хлопок,чёрный,короткий,средний
305,S,хлопок,красный,длинный,высокий
306,M,полиэстр,голубой,длинный,средний
307,XXL,шёлк,фиолетовый,короткий,низкий
308,L,лён,белый,длинный,высокий
309,S,нейлон,чёрный,длинный,средний
310,XS,шёлк,белый,длинный,низкий
311,XL,нейлон,синий,длинный,средний
312,XXL,шёлк,кремовый,короткий,низкий
313,L,лён,чёрный,длинный,средний
314,XL,хлопок,фиолетовый,длинный,низкий
315,L,полиэстр,белый,короткий,высокий
316,L,хлопок,синий,длинный,средний
317,L,нейлон,кремовый,длинный,средний
318,XL,хлопок,белый,короткий,средний
319,XS,хлопок,жёлтый,короткий,высокий
320,XL,полиэстр,голубой,длинный,средний
321,S,полиэстр,голубой,короткий,высокий
322,3XL,хлопок,белый,короткий,средний
323,XXL,полиэстр,зелёный,длинный,низкий
324,M,нейлон,голубой,длинный,средний
325,XL,нейлон,синий,короткий,высокий
326,S,полиэстр,чёрный,длинный,средний
327,XL,полиэстр,голубой,длинный,средний
328,M,нейлон,красный,длинный,средний
329,3XL,хлопок,красный,короткий,средний
330,XS,нейлон,зелёный,длинный,средний
331,S,шёлк,синий,длинный,средний
332,L,нейлон,кремовый,длинный,средний
333,XXL,лён,голубой,короткий,высокий
334,XXL,полиэстр,белый,длинный,низкий
335,XXL,лён,кремовый,длинный,средний
336,XL,полиэстр,жёлтый,короткий,высокий
337,XXL,полиэстр,оранжевый,длинный,низкий
338,XXL,полиэстр,фиолетовый,короткий,высокий
339,S,лён,оранжевый,короткий,высокий
340,M,полиэстр,голубой,короткий,высокий
341,M,полиэстр,белый,короткий,средний
342,XL,хлопок,голубой,длинный,средний
343,XL,хлопок,белый,длинный,средний
344,S,хлопок,белый,короткий,высокий
345,XL,хлопок,жёлтый,короткий,высокий
346,XXL,хлопок,белый,короткий,средний
347,L,лён,чёрный,длинный,средний
348,XXL,полиэстр,белый,короткий,низкий
349,3XL,нейлон,кремовый,короткий,высокий
350,M,нейлон,красный,короткий,высокий
351,S,лён,чёрный,длинный,средний
352,S,нейлон,белый,короткий,средний
353,XXL,нейлон,кремовый,короткий,высокий
354,L,нейлон,синий,короткий,высокий
355,L,лён,чёрный,короткий,средний
356,XL,полиэстр,синий,короткий,высокий
357,XL,хлопок,голубой,длинный,средний
