,размер,ткань,цвет,рукав,спрос
0,L,хлопок,зелёный,длинный,средний
1,M,хлопок,кремовый,короткий,высокий
2,XL,шёлк,красный,короткий,низкий
3,M,нейлон,красный,короткий,высокий
4,L,лён,красный,длинный,высокий
5,XXL,хлопок,синий,длинный,средний
6,L,полиэстр,кремовый,длинный,средний
7,XXL,полиэстр,белый,короткий,низкий
8,M,хлопок,кремовый,короткий,высокий
9,XXL,полиэстр,красный,длинный,средний
10,S,хлопок,красный,длинный,высокий
11,XL,лён,синий,короткий,высокий
12,M,хлопок,зелёный,длинный,низкий
13,L,хлопок,красный,короткий,высокий
14,3XL,шёлк,чёрный,короткий,низкий
15,XL,полиэстр,чёрный,длинный,средний
16,S,хлопок,белый,короткий,высокий
17,M,хлопок,кремовый,короткий,высокий
18,S,шёлк,жёлтый,длинный,средний
19,XS,хлопок,синий,короткий,высокий
20,L,нейлон,красный,длинный,средний
21,L,полиэстр,красный,длинный,средний
22,M,хлопок,голубой,длинный,средний
23,M,полиэстр,белый,короткий,средний
24,L,шёлк,оранжевый,короткий,низкий
25,XXL,нейлон,красный,длинный,средний
26,L,нейлон,синий,короткий,высокий
27,XXL,нейлон,белый,короткий,низкий
28,XS,полиэстр,белый,короткий,средний
29,S,полиэстр,белый,короткий,средний
30,XL,нейлон,красный,короткий,высокий
31,XXL,лён,чёрный,короткий,средний
32,S,шёлк,белый,длинный,низкий
33,3XL,нейлон,кремовый,короткий,высокий
34,M,нейлон,белый,короткий,средний
35,XXL,полиэстр,голубой,длинный,средний
36,M,лён,фиолетовый,короткий,высокий
37,XL,полиэстр,оранжевый,длинный,средний
38,XXL,нейлон,кремовый,короткий,высокий
39,3XL,полиэстр,кремовый,длинный,средний
40,M,полиэстр,красный,короткий,высокий
41,XL,хлопок,фиолетовый,длинный,средний
42,M,нейлон,белый,короткий,средний
43,L,нейлон,чёрный,короткий,высокий
44,XL,полиэстр,белый,короткий,низкий
45,S,полиэстр,жёлтый,короткий,высокий
46,XXL,полиэстр,белый,короткий,низкий
47,XXL,хлопок,белый,длинный,средний
48,S,хлопок,синий,длинный,высокий
49,L,лён,чёрный,короткий,средний
50,L,полиэстр,красный,длинный,средний
51,M,полиэстр,зелёный,короткий,высокий
52,L,полиэстр,кремовый,короткий,высокий
53,XS,полиэстр,красный,короткий,высокий
54,XS,нейлон,красный,короткий,высокий
55,XXL,шёлк,синий,короткий,низкий
56,M,полиэстр,синий,длинный,средний
57,M,полиэстр,синий,короткий,высокий
58,M,шёлк,белый,короткий,низкий
59,S,шёлк,белый,длинный,низкий
60,S,полиэстр,кремовый,короткий,высокий
61,L,шёлк,чёрный,длинный,средний
62,XS,хлопок,жёлтый,короткий,высокий
63,S,полиэстр,белый,длинный,средний
64,XS,хлопок,фиолетовый,короткий,высокий
65,L,хлопок,красный,длинный,средний
66,3XL,полиэстр,синий,длинный,средний
67,S,полиэстр,красный,длинный,высокий
68,L,хлопок,жёлтый,длинный,средний
69,XS,шёлк,белый,короткий,низкий
70,3XL,нейлон,жёлтый,короткий,средний
71,S,полиэстр,чёрный,длинный,средний
72,L,нейлон,чёрный,короткий,высокий
73,M,шёлк,белый,длинный,средний
74,S,полиэстр,голубой,длинный,высокий
75,XL,нейлон,зелёный,длинный,средний
76,S,полиэстр,синий,длинный,высокий
77,XL,шёлк,голубой,короткий,низкий
78,M,хлопок,синий,короткий,высокий
79,XL,нейлон,чёрный,длинный,средний
80,XL,полиэстр,жёлтый,длинный,средний
81,L,нейлон,синий,длинный,средний
82,3XL,хлопок,синий,длинный,низкий
83,3XL,хлопок,чёрный,длинный,средний
84,S,лён,чёрный,короткий,средний
85,XS,хлопок,чёрный,короткий,средний
86,XS,лён,кремовый,короткий,высокий
87,3XL,хлопок,белый,короткий,средний
88,XL,полиэстр,кремовый,короткий,высокий
89,S,нейлон,белый,длинный,средний
90,M,полиэстр,голубой,короткий,высокий
91,XXL,нейлон,чёрный,короткий,средний
92,S,полиэстр,чёрный,короткий,средний
93,M,лён,белый,длинный,высокий
94,M,шёлк,голубой,короткий,низкий
95,M,хлопок,синий,короткий,высокий
96,L,хлопок,чёрный,длинный,средний
97,L,лён,белый,длинный,высокий
98,L,полиэстр,голубой,длинный,средний
99,L,хлопок,белый,короткий,высокий
100,XXL,нейлон,белый,короткий,низкий
101,M,лён,оранжевый,короткий,высокий
102,L,полиэстр,синий,длинный,средний
103,XL,нейлон,синий,короткий,высокий
104,S,лён,чёрный,короткий,средний
105,XL,лён,чёрный,длинный,средний
106,XS,нейлон,чёрный,длинный,средний
107,XL,хлопок,жёлтый,длинный,средний
108,XXL,полиэстр,зелёный,короткий,высокий
109,M,хлопок,жёлтый,длинный,средний
110,M,хлопок,фиолетовый,короткий,высокий
111,S,лён,жёлтый,короткий,высокий
112,3XL,полиэстр,жёлтый,длинный,низкий
113,M,лён,фиолетовый,короткий,высокий
114,XL,нейлон,красный,короткий,высокий
115,XXL,нейлон,чёрный,длинный,средний
116,XXL,нейлон,красный,длинный,средний
117,XXL,шёлк,белый,короткий,низкий
118,XS,нейлон,синий,длинный,высокий
119,M,лён,белый,короткий,высокий
120,XS,шёлк,чёрный,короткий,низкий
121,XL,полиэстр,белый,короткий,низкий
122,L,полиэстр,голубой,длинный,средний
123,XL,полиэстр,красный,длинный,средний
124,M,хлопок,кремовый,длинный,средний
125,L,хлопок,голубой,короткий,высокий
126,M,нейлон,белый,длинный,средний
127,XS,нейлон,белый,короткий,средний
128,XXL,нейлон,синий,короткий,высокий
129,L,полиэстр,красный,короткий,высокий
130,XL,нейлон,белый,короткий,низкий
131,S,нейлон,белый,длинный,средний
132,M,хлопок,красный,длинный,средний
133,S,полиэстр,белый,длинный,средний
134,XL,нейлон,голубой,короткий,высокий
135,XL,хлопок,жёлтый,короткий,высокий
136,XS,полиэстр,красный,короткий,высокий
137,L,полиэстр,красный,длинный,средний
138,L,полиэстр,красный,короткий,высокий
139,3XL,хлопок,фиолетовый,длинный,низкий
140,L,лён,голубой,короткий,высокий
141,XL,полиэстр,белый,длинный,низкий
142,M,полиэстр,кремовый,длинный,средний
143,M,нейлон,белый,длинный,средний
144,S,шёлк,красный,короткий,средний
145,S,хлопок,белый,короткий,высокий
146,S,полиэстр,зелёный,короткий,высокий
147,XL,полиэстр,жёлтый,длинный,средний
148,XL,полиэстр,синий,короткий,высокий
149,XL,хлопок,кремовый,короткий,высокий
150,XL,нейлон,чёрный,длинный,средний
151,M,шёлк,красный,длинный,низкий
152,M,нейлон,зелёный,короткий,высокий
153,XXL,хлопок,чёрный,короткий,средний
154,L,полиэстр,чёрный,короткий,высокий
155,XL,нейлон,оранжевый,длинный,средний
156,S,хлопок,чёрный,длинный,средний
157,3XL,нейлон,синий,короткий,высокий
158,L,хлопок,оранжевый,длинный,средний
159,S,лён,красный,длинный,высокий
160,XS,нейлон,кремовый,короткий,высокий
161,XXL,нейлон,жёлтый,короткий,высокий
162,M,лён,жёлтый,короткий,высокий
163,XL,хлопок,зелёный,длинный,низкий
164,L,лён,фиолетовый,длинный,высокий
165,XL,лён,зелёный,длинный,средний
166,L,шёлк,оранжевый,короткий,низкий
167,M,нейлон,белый,длинный,средний
168,XXL,полиэстр,голубой,длинный,средний
169,L,хлопок,чёрный,длинный,средний
170,L,полиэстр,синий,длинный,средний
171,XL,хлопок,кремовый,короткий,высокий
172,L,полиэстр,белый,короткий,высокий
173,M,лён,зелёный,короткий,высокий
174,L,хлопок,красный,длинный,средний
175,XL,полиэстр,синий,короткий,высокий
176,S,лён,чёрный,длинный,средний
177,M,шёлк,белый,длинный,средний
178,L,нейлон,зелёный,длинный,средний
179,3XL,хлопок,чёрный,короткий,средний
